id,type,certificate_authority,created_at,state,has_active_order,updated_at,tls_domain_ids
yTVlCDZAZ7001zIIMuLGbg,tls_subscription,certainly,2025-05-16T04:52:36.000Z,pending,True,2025-05-16T04:52:36.000Z,*.www.tokyo-mizumachi.jp
rRAvnLLtNd2iQsgecEHrQg,tls_subscription,certainly,2025-05-16T04:45:45.000Z,pending,True,2025-05-16T04:45:45.000Z,*.www.tokyo-solamachi.jp
msDKdvwltJIfiREGzDXAQw,tls_subscription,certainly,2025-05-12T06:32:22.000Z,issued,False,2025-05-15T02:32:00.000Z,*.dev.solution.shokubai.co.jp
uzJEiDpEZzBknZVlY2GInw,tls_subscription,certainly,2025-04-24T06:24:54.000Z,failed,False,2025-05-01T06:32:09.000Z,*.tt-net2.tsubakimoto.co.jp
ldCLSdwQSn11GZMKxW4KCw,tls_subscription,certainly,2025-04-15T01:55:44.000Z,issued,False,2025-05-06T06:50:41.000Z,*.wwwtest2.otemae.ac.jp
xnTWax0bxBX6Q9IeQfRB7w,tls_subscription,certainly,2025-04-11T01:45:40.000Z,issued,False,2025-05-15T02:16:34.000Z,*.www.kuraka.co.jp
wEMyZjqorUPqDlmOqmh5Ow,tls_subscription,certainly,2025-04-07T11:03:09.000Z,issued,False,2025-04-30T00:25:39.000Z,*.www.otemae.ac.jp
8C0kNnP0TUqAfJIbiAsIFQ,tls_subscription,certainly,2025-04-07T10:52:57.000Z,issued,False,2025-04-30T00:10:49.000Z,*.wwwtest.otemae.ac.jp
lgY644Ka1YzQWjivN1AY2g,tls_subscription,certainly,2025-04-02T05:22:45.000Z,failed,False,2025-04-09T05:27:38.000Z,*.www2.kawai.co.jp
mZSkhqlgRZYlMYaV3SYh9w,tls_subscription,certainly,2025-03-28T08:11:54.000Z,failed,False,2025-04-04T08:19:57.000Z,ireporter-global.com
ZXMCesYizNi61Bb4TFsZMA,tls_subscription,certainly,2025-03-28T02:55:02.000Z,issued,False,2025-05-07T09:46:46.000Z,*.dekirukun.co.jp
AcPSQMuIMhcXawbdBKAg7w,tls_subscription,certainly,2025-03-18T08:33:53.000Z,issued,False,2025-04-28T04:21:27.000Z,*.test.kuraka.co.jp
lpAPRWCRRQaBmrwpBRnAsw,tls_subscription,certainly,2025-03-18T03:31:07.000Z,issued,False,2025-04-27T04:47:14.000Z,*.genki-gdc.co.jp
EkyYArGa1N6LBCQ8K2rfDg,tls_subscription,certainly,2025-02-28T09:55:31.000Z,issued,False,2025-05-05T02:30:51.000Z,*.www.kirishima.co.jp
iNq3mMimTdwA5N3FYy55XA,tls_subscription,certainly,2025-02-27T02:45:11.000Z,issued,False,2025-05-02T06:16:56.000Z,*.ybht.co.jp
ojpqefaCd0jM3UE7rszWVQ,tls_subscription,certainly,2025-02-14T02:10:09.000Z,issued,False,2025-05-11T03:12:12.000Z,*.testwww2.kawai.co.jp
uIq7irTbCAcLAMB6wKFzfQ,tls_subscription,certainly,2025-01-28T09:25:13.000Z,issued,False,2025-05-14T02:05:35.000Z,test.ireporter-global.com
1EjX9zCd4TL1o0TqsVoRAg,tls_subscription,certainly,2025-01-23T12:06:36.000Z,issued,False,2025-05-14T04:05:42.000Z,*.kyusan-u-2nd.designc-works.biz
k7fVokFhOTgnHk0JCeJEKA,tls_subscription,certainly,2025-01-14T02:44:21.000Z,issued,False,2025-05-13T23:07:09.000Z,"www.tadapla.com,tadapla.com"
PxYbvXy4wJQgwjBprcMUcw,tls_subscription,certainly,2025-01-08T09:37:38.000Z,issued,False,2025-05-03T01:37:20.000Z,*.advics.co.jp
IzmbTS34mz41o0OIBBS34w,tls_subscription,certainly,2024-11-21T11:11:29.000Z,issued,False,2025-04-30T03:57:04.000Z,"zh-cht.www.resol-hotel.jp,es.www.resol-hotel.jp,zh-chs.www.resol-hotel.jp,fr.www.resol-hotel.jp,ko.www.resol-hotel.jp,en.www.resol-hotel.jp"
aieQJc7FMFx9gWtsrUb3hA,tls_subscription,certainly,2024-11-20T05:30:04.000Z,issued,False,2025-05-03T17:16:49.000Z,*.prod-prev.mirarth.co.jp
tWLq1ZkiSUzEOElq1RYCLQ,tls_subscription,certainly,2024-10-22T07:58:40.000Z,issued,False,2025-05-12T22:07:21.000Z,*.staging.kirishima.co.jp
zUYGYlTJrppAnJmfsmBqTQ,tls_subscription,certainly,2024-10-09T10:48:16.000Z,issued,False,2025-05-09T23:01:51.000Z,*.store.tsite.jp
D7HwvOY5nKVVNUO7lsjCRA,tls_subscription,certainly,2024-10-08T01:16:34.000Z,issued,False,2025-04-27T20:46:52.000Z,*.staging.resol-hotel.jp
9ROrPFnvIIeOKSqQXuhwWg,tls_subscription,certainly,2024-10-01T05:08:21.000Z,issued,False,2025-05-09T18:55:46.000Z,*.stg.store.tsite.jp
NblzJjvxEFUVcSnx2pCBkw,tls_subscription,certainly,2024-09-26T21:54:28.000Z,issued,False,2025-05-04T13:50:36.000Z,*.macnica.co.jp
0TKxZZqJrIqiTk7AZzxJKg,tls_subscription,certainly,2024-09-19T04:28:36.000Z,issued,False,2025-05-02T20:35:51.000Z,stgshop.newbalance.jp
EqIN4T8a3o0GZcsRMAsJCg,tls_subscription,certainly,2024-09-11T03:33:26.000Z,issued,False,2025-05-08T16:36:56.000Z,en.www.rockwdev.com
RACeGZFfTXPHXEzutCGBcw,tls_subscription,certainly,2024-09-03T03:34:13.000Z,issued,False,2025-05-10T17:00:46.000Z,*.www.surtech.jp
PvlFNf0SStLjADr0iCkMew,tls_subscription,certainly,2024-09-02T09:46:22.000Z,issued,False,2025-04-30T01:12:03.000Z,*.mirarth.sidethree.online
QGsHdbKXzNJubUeowuJgAg,tls_subscription,certainly,2024-08-19T08:02:29.000Z,issued,False,2025-05-07T20:25:35.000Z,en.pacific.co.jp
zxaAd0ZqeGO1GOZBEyeZtA,tls_subscription,certainly,2024-08-07T04:09:52.000Z,issued,False,2025-05-13T16:52:09.000Z,www.chukoh.com
wAZ80gGjEqfYfYIyaxrfAQ,tls_subscription,certainly,2024-08-01T04:13:44.000Z,issued,False,2025-05-12T18:12:14.000Z,*.mirarth.co.jp
cDlJH81nBZA4BVpkMEqZ7A,tls_subscription,certainly,2024-08-01T02:35:27.000Z,issued,False,2025-05-12T18:07:17.000Z,*.test.mirarth.co.jp
LVAL4RSbYDLXJPppnF5S9Q,tls_subscription,certainly,2024-07-29T03:51:11.000Z,issued,False,2025-05-07T18:41:50.000Z,*.www.chino.co.jp
iQRZIZ1CVppR3Iju95jUVQ,tls_subscription,certainly,2024-07-29T03:43:23.000Z,issued,False,2025-05-07T18:41:50.000Z,*.service.chino.co.jp
PJJWGBQAczNGQBUQ8Y4vNA,tls_subscription,certainly,2024-07-29T03:27:07.000Z,issued,False,2025-05-07T18:47:26.000Z,*.cmsdev.chino.co.jp
8OR83xHYZfgMucA81laJ4w,tls_subscription,certainly,2024-07-24T04:41:16.000Z,issued,False,2025-05-12T15:26:16.000Z,*.fujimotorsportsforest.jp
W6cP9ZWfZZ3PUIqtaOoBBQ,tls_subscription,certainly,2024-07-17T03:32:11.000Z,issued,False,2025-05-14T15:25:35.000Z,*.www.at-raku.com
ZkAZPXLDcFVQxhyAZLi3mA,tls_subscription,certainly,2024-07-17T03:30:09.000Z,issued,False,2025-05-14T15:15:31.000Z,*.www.laqua.jp
XadKitTnx0NyoGJUxrdneQ,tls_subscription,certainly,2024-07-16T03:04:47.000Z,issued,False,2025-04-28T11:57:02.000Z,*.stg.fujimotorsportsforest.jp
2MWj2eBw8Gi53ltL8ZAkOQ,tls_subscription,certainly,2024-07-04T09:19:44.000Z,issued,False,2025-05-06T15:10:48.000Z,"en.vasara-h.co.jp,zh-cht.vasara-h.co.jp"
BLzeEjMd2tx2ba1MHZknpQ,tls_subscription,certainly,2024-07-03T06:40:22.000Z,issued,False,2025-04-28T14:22:37.000Z,*.dev2.at-raku.xyz
JaybhCs71loGnOMj3BQIOg,tls_subscription,certainly,2024-07-03T06:35:58.000Z,issued,False,2025-05-03T15:50:41.000Z,*.stg.laqua.jp
NaYq24DEnHQUNebqcZwbGQ,tls_subscription,certainly,2024-06-26T05:10:18.000Z,issued,False,2025-05-03T11:30:40.000Z,*.www.quil-fait-bon.com
1lRGKs885ZplH4IpVHAcYg,tls_subscription,certainly,2024-06-25T09:20:53.000Z,issued,False,2025-04-26T12:30:30.000Z,products.bandogrp.com
KezUEeA5icXPiep5mJjDnQ,tls_subscription,certainly,2024-06-25T09:13:53.000Z,issued,False,2025-04-26T12:30:30.000Z,cms-product.bandogrp.com
6gh1ogujaady8uYG1aEfFQ,tls_subscription,certainly,2024-06-25T08:23:28.000Z,issued,False,2025-05-11T14:17:12.000Z,*.www.almado.co.jp
b0NqShPhjZDasQQI2cIV7A,tls_subscription,certainly,2024-06-25T06:59:04.000Z,issued,False,2025-05-03T11:30:40.000Z,*.ri27un.quil-fait-bon.com
xSiJrSDOKzP7i4bOVOgdYA,tls_subscription,certainly,2024-06-21T01:30:51.000Z,issued,False,2025-05-09T23:11:50.000Z,*.next.prod.v3.vasara-h.co.jp
gJx3ngkhxpiqsrBohBHcmw,tls_subscription,certainly,2024-06-12T06:11:51.000Z,issued,False,2025-05-03T20:01:48.000Z,"fanystudio.com,www.fanystudio.com"
zWGUGi2YifIcqc0LJSuVJA,tls_subscription,certainly,2024-06-11T05:04:53.000Z,issued,False,2025-05-06T10:55:45.000Z,"*.next.test.v3.vasara-h.co.jp,*.next.vasara-v3-test.web2.v3.vasara-h.co.jp,*.next.vasara-v3-test.web1.v3.vasara-h.co.jp"
KdLBmrTOZuv6ItDQ5JH1iQ,tls_subscription,certainly,2024-06-05T04:46:26.000Z,failed,False,2024-06-12T04:48:11.000Z,rrh-international-dev.100inc.net
57oFKrq1nvNIhSnbcANKXw,tls_subscription,certainly,2024-06-05T00:26:44.000Z,issued,False,2025-05-10T17:25:52.000Z,*.kaigo-passport-tokyo.jp
UKFAIvbpcKap3awjh7hAkw,tls_subscription,certainly,2024-06-03T06:14:39.000Z,issued,False,2025-05-10T17:25:52.000Z,*.test.kaigo-passport-tokyo.jp
nNVykHIA1Z36cx7MrW4eJw,tls_subscription,certainly,2024-04-19T01:51:25.000Z,issued,False,2025-05-06T09:25:50.000Z,www.osp-holdings.co.jp
p2WjARZFDnmIFaIxVlSYWw,tls_subscription,certainly,2024-04-18T12:14:30.000Z,issued,False,2025-05-03T15:30:57.000Z,tokyotower.red-brand.jp
HFQ6YmmufAh3OZW46u85cg,tls_subscription,certainly,2024-04-15T10:31:40.000Z,failed,False,2024-04-22T10:37:25.000Z,outlet.newbalance.jp
gXbRF2msi5WObiBpeODgEQ,tls_subscription,certainly,2024-04-10T08:48:48.000Z,failed,False,2025-04-08T14:00:14.000Z,*.www.morimoto-real.co.jp
zO1nNKqwGWcCTqfvjxbN5g,tls_subscription,certainly,2024-03-15T04:19:38.000Z,failed,False,2025-04-18T13:04:03.000Z,"zh-cht.1peta.net,en.1peta.net"
9gwBN2CtBQWO6e0EgOXN2w,tls_subscription,certainly,2024-03-15T04:09:41.000Z,issued,False,2025-05-12T07:37:10.000Z,holdings.osptest.jp
0V9COAzBnSi6Khd63gxcZQ,tls_subscription,certainly,2024-03-13T04:08:48.000Z,issued,False,2025-05-07T10:35:36.000Z,staging.ontrip.jal.co.jp
rmgZ9WDMH4wrT7RAmyhzkg,tls_subscription,certainly,2024-03-06T01:59:58.000Z,issued,False,2025-05-05T14:55:48.000Z,stgoutlet.newbalance.jp
HzahlfTlbB8Ncw7HVFviSg,tls_subscription,certainly,2024-03-06T00:54:59.000Z,failed,False,2024-12-29T18:09:16.000Z,www2.chukoh.co.jp
VueEiRrF0EWLZOykMLv58Q,tls_subscription,certainly,2024-03-06T00:16:06.000Z,issued,False,2025-04-29T02:45:58.000Z,wovn-test.office.tuat.ac.jp
dpcbGqzAQrIbxeDNrHWFPw,tls_subscription,certainly,2024-02-29T02:33:57.000Z,issued,False,2025-04-28T20:50:39.000Z,www.tuat.ac.jp
tC9ZnzOCh7hPy3ZZQc6Zlg,tls_subscription,certainly,2024-02-29T01:39:58.000Z,failed,False,2025-03-17T17:39:51.000Z,shunkashutou.com
XCEzulEWc2V1xSLyWajTjw,tls_subscription,certainly,2024-02-28T04:23:35.000Z,issued,False,2025-05-12T09:47:02.000Z,faq2.prometric-jp.com
tR4dhZCYppvz1MQB4KZvhQ,tls_subscription,certainly,2024-02-28T04:03:20.000Z,issued,False,2025-05-12T09:47:00.000Z,faq.prometric-jp.com
y1AlkDyEZouDDKpTIW4lVQ,tls_subscription,certainly,2024-02-28T03:44:23.000Z,issued,False,2025-05-12T09:37:02.000Z,www.prometric-jp.com
VaShuw5fs0FeYcb73ral9A,tls_subscription,certainly,2024-02-16T02:05:13.000Z,failed,False,2025-04-12T11:51:44.000Z,www.kankomie.or.jp
r0XUEDXh0Z0okZqboARmZg,tls_subscription,certainly,2024-02-14T08:06:56.000Z,failed,False,2025-03-16T14:49:28.000Z,dev.shunkashutou.com
GHk4ip3X3Bwu5NbVczQksA,tls_subscription,certainly,2024-02-13T02:10:13.000Z,issued,False,2025-05-15T08:30:39.000Z,www.keikyu-exinn.co.jp
xksSYp7uZNef3DoxeAcLmg,tls_subscription,certainly,2024-02-13T02:06:22.000Z,issued,False,2025-05-15T08:30:39.000Z,www.keikyu-exhotel.jp
Bs9DTAUQuZucj1Hq1Ud0CQ,tls_subscription,certainly,2024-02-06T13:12:14.000Z,issued,False,2025-05-11T10:10:49.000Z,*.okinawa.maasde-dev.com
RVmPuZA5GubXqtTgvoseew,tls_subscription,certainly,2024-02-06T12:46:36.000Z,issued,False,2025-04-29T14:56:57.000Z,*.okinawacdn.tis-maas.com
jpo5ZduvIPK7AsFk0IxIDg,tls_subscription,certainly,2024-02-06T03:26:09.000Z,issued,False,2025-05-11T15:05:54.000Z,fanystudio.testsite.help
XDJpJs4673qHkeApKdCY3Q,tls_subscription,certainly,2024-02-05T03:22:57.000Z,issued,False,2025-04-29T16:10:49.000Z,"hitachi.ca,www.hitachi.ca"
QtZuWWNPH4Wu5LQWABZ2zw,tls_subscription,certainly,2024-02-01T01:24:37.000Z,issued,False,2025-05-06T01:20:41.000Z,caportal.hitachi.com
4N9jiPUkvwpMHr3zM4t67w,tls_subscription,certainly,2024-01-24T02:40:22.000Z,issued,False,2025-05-10T04:55:42.000Z,www.j-oil.com
jf95iFA4e4fQ8ag8fuDGlQ,tls_subscription,certainly,2023-12-20T00:53:45.000Z,issued,False,2025-05-07T07:55:44.000Z,"*.lotte.co.jp,lotte.co.jp"
AZHZOR08vlAjVHBAk6O65Q,tls_subscription,certainly,2023-12-14T06:42:15.000Z,issued,False,2025-04-27T12:40:53.000Z,www.tomorrowland.co.jp
wiTsTIhbUXOBqnE7qy6AIw,tls_subscription,certainly,2023-12-07T11:49:12.000Z,issued,False,2025-05-14T01:36:38.000Z,www.b-en-g.co.jp
84ErQYMDM6kCebC0VPIh0g,tls_subscription,certainly,2023-12-07T11:46:56.000Z,issued,False,2025-05-13T12:36:41.000Z,www-beng-co-jp.ids.co.jp
VpPhgxKVOjW5yohqeA1lwQ,tls_subscription,certainly,2023-12-07T09:06:44.000Z,issued,False,2025-05-14T01:42:06.000Z,*.marunouchi.com
o0TMlWvhBXuOooKsIX48Gg,tls_subscription,certainly,2023-12-07T06:47:05.000Z,failed,False,2023-12-14T06:47:07.000Z,*.okinawacdn.maasde.com
fwPnUrZAgfNHHuR2EGu0CQ,tls_subscription,certainly,2023-12-07T06:33:59.000Z,issued,False,2025-04-29T14:56:46.000Z,*.okinawa.digitalticket.tis-maas.com
yqK7jfajPTJGCqJT2hHMSQ,tls_subscription,certainly,2023-12-05T07:49:22.000Z,issued,False,2025-05-13T07:46:53.000Z,*.nissin-tw.com
jIgxVVEjUXBXSJx2AsSKGg,tls_subscription,certainly,2023-12-04T03:03:49.000Z,issued,False,2025-05-06T09:16:48.000Z,*.rolanddg.com
f8N2gv8p0MvwEPoVoYBaFA,tls_subscription,certainly,2023-11-30T03:44:51.000Z,issued,False,2025-05-03T03:36:48.000Z,*.www.nanotechexpo.jp
kxTeoyGN0RBA5hhgeFFZhA,tls_subscription,certainly,2023-11-30T03:39:40.000Z,issued,False,2025-05-03T03:42:11.000Z,*.www.low-cf.jp
vILvbAO953hmpZuK7DErJw,tls_subscription,certainly,2023-11-30T03:37:42.000Z,issued,False,2025-05-03T03:37:23.000Z,*.www.wt.cj-exhibition.com
vUborZZhP1K1e7eXSlPzZg,tls_subscription,certainly,2023-11-30T03:35:31.000Z,issued,False,2025-05-03T03:36:24.000Z,*.www.mfg.cj-exhibition.com
g7gGl1SlyGKx0w2nZ5gPog,tls_subscription,certainly,2023-11-30T03:32:41.000Z,issued,False,2025-05-03T03:32:13.000Z,*.www.cj-exhibition.com
eKzSZietATGrG6EQ5q2eow,tls_subscription,certainly,2023-11-30T03:30:09.000Z,issued,False,2025-05-03T03:32:24.000Z,*.www.interaqua.jp
itx3l6flYVd5KVtANnrC3Q,tls_subscription,certainly,2023-11-30T03:27:46.000Z,issued,False,2025-05-03T03:37:23.000Z,*.www.smartsensingexpo.com
cRjtgoaA9r5zffkCI2zx1Q,tls_subscription,certainly,2023-11-30T02:22:38.000Z,issued,False,2025-05-02T08:27:03.000Z,*.keikyu-bus.co.jp
sEySr8PytEN4pSfzg2JAIA,tls_subscription,certainly,2023-11-15T08:31:54.000Z,issued,False,2025-05-09T01:10:53.000Z,*.okinawacdn.maasde-dev.com
1u9ZgujCRwrAoYnzSiOlyQ,tls_subscription,certainly,2023-11-15T08:25:36.000Z,issued,False,2025-05-09T00:15:57.000Z,*.okinawa-02.maasde-dev.com
